#lemma,wordnet_2.0,wordnet_3.0,POS,Cyc ID,Cyc name
high,301166932,1210854,adj,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViZjpwpEbGdrcN5Y29ycB4rvVif6ZwpEbGdrcN5Y29ycB4rwF4t15wpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :GenericQuantity, :highAmountOf, :TotallyOrderedQuantityType]"
growth,113426542,14234074,noun,Mx4rwP1YqpwpEbGdrcN5Y29ycA,Tumor
Oceania,108290918,8835875,noun,Mx4rvqb6ApwpEbGdrcN5Y29ycA,Oceania-Region
transmit,201394266,1435380,verb,Mx4rb7J04rG6EdmAhAACs6hRjg,TransmittingSomething
chipmunk,102274247,2360282,noun,Mx4rvVkIspwpEbGdrcN5Y29ycA,Chipmunk
Manila,108424786,8981746,noun,Mx4rvVix0JwpEbGdrcN5Y29ycA,CityOfManilaPhilippines
helmsman,109514902,10169796,noun,Mx4rwQBdeJwpEbGdrcN5Y29ycA,Helmsman
Bougainville,108298216,8843571,noun,Mx4rvVj9BZwpEbGdrcN5Y29ycA,Bougainville-Island
San_Jose,108200787,8736376,noun,Mx4rvVjXCJwpEbGdrcN5Y29ycA,CityOfSanJoseCostaRica
aldosterone,113910374,14752511,noun,Mx4rvWNC5JwpEbGdrcN5Y29ycA,Aldosterone
Chadian,109085433,9697650,noun,Mx4rvVjbXpwpEbGdrcN5Y29ycA,ChadPerson
Talmudic_literature,106062125,6462219,noun,Mx4rOskKvM3rEdmAAAACs6hRjg,TalmudicLiterature
bed,102719813,2818832,noun,Mx4rvVjeFJwpEbGdrcN5Y29ycA,Bed-PieceOfFurniture
kid,102329340,2416820,noun,Mx8Ngh4rwQwgBJwpEbGdrcN5Y29ycB4rvVjiuZwpEbGdrcN5Y29ycA,"[:JuvenileFn, :Goat]"
photograph,200970591,1003249,verb,Mx4rvViur5wpEbGdrcN5Y29ycA,TakingAPhotograph-FilmCamera
export,202278799,2346409,verb,Mx4rvVidv5wpEbGdrcN5Y29ycA,ImportExportEvent
fairway,108045313,8569319,noun,Mx4rwPu4npwpEbGdrcN5Y29ycA,Fairway
hyphen,106423133,6843148,noun,Mx4rvpzvj5wpEbGdrcN5Y29ycA,Hyphen-TheSymbol
crucify,202409762,2484049,verb,Mx4rwQBnQJwpEbGdrcN5Y29ycA,Crucifying
roar,200029097,29836,verb,Mx4rU69BY7HiEdmAhAACs6hRjg,Roaring-Laughing
dark,113187861,13983515,noun,Mx4ryZq9QHS6EdaAAACgyZzFrg,LitTooDarkForSeeing
Palestine,108257494,8798771,noun,Mx4rwQrrt5wpEbGdrcN5Y29ycA,PalestineBritishMandate
Kuwait,108376532,8929243,noun,Mx4rvViGEJwpEbGdrcN5Y29ycA,Kuwait
launcher,103511411,3647520,noun,Mx4rvXAGyJwpEbGdrcN5Y29ycA,MissileLauncher
extrude,201627734,1675780,verb,Mx4rvVieRpwpEbGdrcN5Y29ycA,Extruding
will,106140871,6544142,noun,Mx4rvVjahpwpEbGdrcN5Y29ycA,WillAndTestament
survey,200626053,646738,verb,Mx4rvg2DZZwpEbGdrcN5Y29ycA,LandSurveying
darkroom,103047750,3162460,noun,Mx4rvVihSJwpEbGdrcN5Y29ycA,Darkroom
Phoenix,108495459,9058376,noun,Mx4rvVi4LJwpEbGdrcN5Y29ycA,CityOfPhoenixAZ
sermon,106799319,7243837,noun,Mx4rwQrpW5wpEbGdrcN5Y29ycA,Sermon
grille,103333081,3459775,noun,Mx4rvVjgWZwpEbGdrcN5Y29ycA,AutomobileGrille
prefer,202328066,2400037,verb,Mx4rLLvfRLgkEdmAAAACs6hRjg,PreferringSomething
Wilmut,110653133,11390692,noun,Mx4rfLmwgsY7EdmAAAACs6hRjg,IanWilmut-Geneticist
programmer,109798859,10481268,noun,Mx4rvVjN-JwpEbGdrcN5Y29ycA,ComputerProgrammer
give_it_a_whirl,202457221,2532458,verb,Mx4rf36GcbctEdmFRAACs6hRjg,GivingSomethingATry
walnut,111570384,12318615,noun,Mx8Ngh4rvVio85wpEbGdrcN5Y29ycB4rvVjZqJwpEbGdrcN5Y29ycA,"[:WoodFn, :WalnutTree]"
Casablanca,108413585,8969798,noun,Mx4rvVj0AJwpEbGdrcN5Y29ycA,CityOfCasablancaMorocco
hold_sway,202368710,2442106,verb,Mx4rJf0isLi3EdmAAAACs6hRjg,HoldingSway-ExercisingAuthoritativeControlOverSomething
Brahmaputra,108653898,9228144,noun,Mx4rvViPQ5wpEbGdrcN5Y29ycA,BrahmaputraRiver
deposit,202243919,2310855,verb,Mx4rwP1NOpwpEbGdrcN5Y29ycA,MakingABankDeposit
weather_strip,104390272,4567870,noun,Mx4r6oFW6r2qEdmAAAACs6hRjg,WeatherStripping
thinking,105437665,5770926,noun,Mx4rvViHXJwpEbGdrcN5Y29ycA,Thinking-NonPurposeful
Molokai,108516313,9080273,noun,Mx4rwTP-sZwpEbGdrcN5Y29ycA,Molokai-Island-Hawaii
